date,clusters
2023-09-25,"ADM,CDNS,DTE,ED,FI,FICO,HON,KO,MGM,MSFT,TROW,WM,XOM,XRAY;CERN;ETN;FAST;FISV;ORCL;SIVB"
2023-09-26,"ADM,CDNS,DTE,ED,ETN,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FAST;FISV;SIVB"
2023-09-27,"ADM,CDNS,DTE,ED,ETN,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FAST;FISV;SIVB"
2023-09-28,"CDNS,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;DTE,ED;ADM;CERN;FISV;SIVB"
2023-09-29,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2023-10-02,"ADM,CDNS,ETN,FAST,FI,FICO,HON,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;DTE,ED;CERN;FISV;KO;SIVB"
2023-10-03,"ADM,CDNS,ETN,FAST,FI,FICO,HON,MGM,MSFT,ORCL,TROW,XOM,XRAY;DTE,ED;CERN;FISV;KO;SIVB;WM"
2023-10-04,"ADM,CDNS,ETN,FAST,FI,FICO,HON,KO,MSFT,ORCL,TROW,WM;DTE,ED;MGM,XRAY;CERN;FISV;SIVB;XOM"
2023-10-05,"ADM,CDNS,ETN,FAST,FI,FICO,HON,MSFT,ORCL,TROW;DTE,ED,WM;KO,XRAY;CERN;FISV;MGM;SIVB;XOM"
2023-10-06,"ADM,CDNS,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,XRAY;DTE,ED,WM;CERN;FISV;SIVB;XOM"
2023-10-09,"CDNS,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,XRAY;DTE,ED,WM;ADM,XOM;CERN;FISV;SIVB"
2023-10-10,"CDNS,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,XRAY;DTE,ED,WM;ADM,XOM;CERN;FISV;SIVB"
2023-10-11,"CDNS,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,XRAY;DTE,ED,WM;ADM,XOM;CERN;FISV;SIVB"
2023-10-12,"CDNS,ETN,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,XRAY;ADM,DTE,ED,WM;CERN;FAST;FISV;SIVB;XOM"
2023-10-13,"CDNS,ETN,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,XRAY;ADM,DTE,ED,WM,XOM;CERN;FAST;FISV;SIVB"
2023-10-16,"CDNS,DTE,ETN,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,XRAY;ADM,XOM;CERN;ED;FAST;FISV;SIVB;WM"
2023-10-17,"ADM,CDNS,DTE,ED,ETN,FI,HON,KO,MGM,MSFT,ORCL,TROW,XOM,XRAY;CERN;FAST;FICO;FISV;SIVB;WM"
2023-10-18,"ADM,CDNS,DTE,ED,ETN,FI,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FAST;FICO;FISV;SIVB;XOM"
2023-10-19,"ADM,CDNS,DTE,ED,ETN,FI,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FAST;FICO;FISV;SIVB;XOM"
2023-10-20,"ADM,CDNS,DTE,ED,ETN,FI,HON,MGM,MSFT,ORCL,TROW,WM;KO,XRAY;CERN;FAST;FICO;FISV;SIVB;XOM"
2023-10-23,"ADM,CDNS,DTE,ED,ETN,FI,HON,KO,MGM,MSFT,ORCL,TROW,WM;CERN;FAST;FICO;FISV;SIVB;XOM;XRAY"
2023-10-24,"ADM,CDNS,DTE,ED,ETN,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM;CERN;FAST;FISV;SIVB;XOM;XRAY"
2023-10-25,"CDNS,DTE,ED,ETN,FI,HON,KO,MGM,ORCL,TROW,XRAY;ADM,MSFT,WM;CERN;FAST;FICO;FISV;SIVB;XOM"
2023-10-26,"CDNS,DTE,ED,ETN,FAST,FI,HON,KO,MGM,ORCL,TROW,XRAY;ADM,WM;CERN;FICO;FISV;MSFT;SIVB;XOM"
2023-10-27,"CDNS,DTE,ED,ETN,FAST,FI,HON,KO,MGM,ORCL,TROW;ADM,MSFT,WM;CERN;FICO;FISV;SIVB;XOM;XRAY"
2023-10-30,"CDNS,DTE,ED,ETN,FAST,FI,HON,KO,MGM,ORCL,TROW;ADM,MSFT,WM;CERN;FICO;FISV;SIVB;XOM;XRAY"
2023-10-31,"CDNS,ETN,FAST,HON,MGM,ORCL;DTE,ED,FI,KO,TROW;ADM,MSFT,WM;CERN;FICO;FISV;SIVB;XOM;XRAY"
2023-11-01,"CDNS,ETN,FAST,HON,ORCL;DTE,ED,FI,KO,TROW;ADM,WM,XOM;CERN;FICO;FISV;MGM;MSFT;SIVB;XRAY"
2023-11-02,"DTE,ED,FI,KO,MGM,TROW,XOM;CDNS,ETN,FAST,HON,ORCL;ADM,WM;CERN;FICO;FISV;MSFT;SIVB;XRAY"
2023-11-03,"DTE,ED,FI,KO,MGM,TROW,XOM;CDNS,ETN,FICO,HON,ORCL;ADM,WM;CERN;FAST;FISV;MSFT;SIVB;XRAY"
2023-11-06,"CDNS,DTE,ED,ETN,FI,FICO,HON,KO,MGM,ORCL,TROW,XOM;ADM,WM;CERN;FAST;FISV;MSFT;SIVB;XRAY"
2023-11-07,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;MSFT;SIVB"
2023-11-08,"ADM,DTE,ED,FAST,FI,KO,MGM,TROW,WM,XOM;CDNS,XRAY;CERN;ETN;FICO;FISV;HON;MSFT;ORCL;SIVB"
